,timestamp,low,high,open,close,volume,date,rsi,stoch_rsi_k,stoch_rsi_d,macd,macd_signal,adx,+di,-di
0,1740916800,2.2572,2.2774,2.2742,2.2734,3367404.468344,2025-03-02 12:00:00,,,,,,0.0,0.0,0.0
1,1740920400,2.245,2.2733,2.2733,2.255,2565671.593821,2025-03-02 13:00:00,,,,,,0.0,0.0,0.0
2,1740924000,2.2171,2.2582,2.2547,2.2251,4188285.443367,2025-03-02 14:00:00,,,,,,0.0,0.0,0.0
3,1740927600,2.2221,2.7066,2.2254,2.6005,77063605.841196,2025-03-02 15:00:00,,,,,,0.0,0.0,0.0
4,1740931200,2.5959,3.0,2.6017,2.8498,109552483.433259,2025-03-02 16:00:00,,,,,,0.0,0.0,0.0
5,1740934800,2.7791,2.975,2.8498,2.8731,57998674.473661,2025-03-02 17:00:00,,,,,,0.0,0.0,0.0
6,1740938400,2.7398,2.8893,2.8742,2.7924,40351659.884047,2025-03-02 18:00:00,,,,,,0.0,0.0,0.0
7,1740942000,2.7834,2.8918,2.7925,2.8712,19460905.34932,2025-03-02 19:00:00,,,,,,0.0,0.0,0.0
8,1740945600,2.8346,2.8808,2.8719,2.8656,12992491.967421,2025-03-02 20:00:00,,,,,,0.0,0.0,0.0
9,1740949200,2.8542,2.9465,2.8655,2.9058,20604642.576836,2025-03-02 21:00:00,,,,,,0.0,0.0,0.0
10,1740952800,2.8638,2.9284,2.9057,2.9096,12769364.247291,2025-03-02 22:00:00,,,,,,0.0,0.0,0.0
11,1740956400,2.8952,2.9624,2.9095,2.9398,19558357.895177,2025-03-02 23:00:00,,,,,,0.0,0.0,0.0
12,1740960000,2.8544,2.9679,2.9397,2.8612,22929856.36533,2025-03-03 00:00:00,,,,,,0.0,0.0,0.0
13,1740963600,2.795,2.8937,2.8606,2.8099,17201784.871537,2025-03-03 01:00:00,68.54397975910776,,,,,0.0,0.0,0.0
14,1740967200,2.76,2.8217,2.8097,2.8105,15740734.637242,2025-03-03 02:00:00,68.57640376189514,,,,,0.0,0.0,0.0
